start_node,end_node,length,osmid,oneway,lanes,name,highway,width,reversed,geometry,maxspeed,bridge,tunnel
25632284,25632285,480.519,8367069,True,2,Rua Álvares Cabral,secondary,4,False,"LINESTRING (-8.6188807 41.1551988, -8.6188106 41.1551843, -8.6166796 41.1547905, -8.6152379 41.154528, -8.614016 41.1543025, -8.6134453 41.1541922, -8.6133083 41.1541642)",,,
25632285,25632293,48.456999999999994,734630278,True,4,Praça da República,secondary,,False,"LINESTRING (-8.6133083 41.1541642, -8.6133246 41.1538652, -8.6133163 41.1538177, -8.6133032 41.1537985, -8.6132822 41.1537694, -8.6132636 41.1537385)",,,
25632293,1110698273,107.73699999999998,8367068,True,2,Praça da República,secondary,,False,"LINESTRING (-8.6132636 41.1537385, -8.6131748 41.1537511, -8.6130858 41.1537499, -8.6126871 41.1537496, -8.6126091 41.1537496, -8.6122168 41.1537426, -8.6121716 41.1537482, -8.6121269 41.1537604, -8.6121117 41.1537666, -8.6120991 41.1537717, -8.6120711 41.153789, -8.6120549 41.1538039, -8.6120253 41.1538357)",,,
25632361,4612022469,249.65500000000003,34683151,False,2,Rua de Aníbal Cunha,tertiary,,False,"LINESTRING (-8.6207549 41.1526088, -8.6208223 41.152769, -8.6209837 41.1532264, -8.6210121 41.1533068, -8.6210314 41.1533685, -8.6210417 41.1534427, -8.6210452 41.1535866, -8.6209435 41.154823)",,,
25632372,475052386,98.01,30405423,True,,Rua da Torrinha,residential,4,False,,,,
128580161,128597080,46.632999999999996,979428550,False,4,Rua da Igreja de Paranhos,secondary,,True,"LINESTRING (-8.6056921 41.1732029, -8.6057649 41.1734355, -8.6058176 41.1736115)",50,,
128588858,128580161,132.47299999999998,13798291,True,2,,secondary_link,,False,"LINESTRING (-8.6043711 41.1725769, -8.6045266 41.1726801, -8.6046446 41.1727497, -8.6047532 41.1728093, -8.604886 41.1728699, -8.6050536 41.1729224, -8.6052186 41.1729698, -8.6053447 41.1729991, -8.6054144 41.1730243, -8.6054882 41.1730607, -8.6055338 41.1730819, -8.6055807 41.1731081, -8.6056921 41.1732029)",,,
128597080,4087312908,5.711,1167578694,False,3,Rua da Igreja de Paranhos,secondary,,True,,,,
128597080,128580161,46.632999999999996,979428550,False,4,Rua da Igreja de Paranhos,secondary,,False,"LINESTRING (-8.6058176 41.1736115, -8.6057649 41.1734355, -8.6056921 41.1732029)",50,,
128673221,1110673556,85.99199999999999,"[200072875, 482296563]",False,"['3', '4']",Praça da Galiza,secondary,,True,"LINESTRING (-8.6271726 41.1523893, -8.627035 41.1524076, -8.6267246 41.1524928, -8.6264362 41.1525794, -8.626292 41.1526208, -8.6262541 41.1526317, -8.626206 41.1526457)",,,
128673221,128673222,131.856,"[1174689832, 207634523]",False,"['3', '4']",Rua do Campo Alegre,secondary,,False,"LINESTRING (-8.6271726 41.1523893, -8.6273368 41.1524001, -8.6274654 41.1524074, -8.6282056 41.1524482, -8.6285185 41.1524656, -8.6285788 41.1524689, -8.628743 41.1524782)",,,
